Date-Policy,Full_Name,InsurancePlan,Policy#,$Premium,Department,Job_Title,PolicyStart,Full Name,Insurance Type,Policy#,Cost/Month
01/05/2023,John Doe,Gold Plan,AB-12345,150.0,IT,Software Engineer,01/05/2023,John Doe,Gold,AB-12345,150.0
01/06/2023,Jane Smith,Silver Plan,CD-67890,100.0,HR,HR Manager,01/06/2023,Jane Smith,Silver,CD-67890,100.0
01/07/2023,Michael Brown,Bronze Plan,EF-10111,50.0,Marketing,Marketing Coordinator,01/07/2023,Michael Brown,Bronze,EF-10111,50.0
02/05/2023,Alice Johnson,Gold Plan,GH-12121,150.0,Finance,Financial Analyst,02/05/2023,Alice Johnson,Gold,GH-12121,150.0
02/06/2023,Bob Wilson,Silver Plan,IJ-13131,100.0,Sales,Sales Executive,02/06/2023,Bob Wilson,Silver,IJ-13131,100.0
02/07/2023,Carol Martinez,Bronze Plan,KL-14141,50.0,Operations,Operations Manager,02/07/2023,Carol Martinez,Bronze,KL-14141,50.0
03/05/2023,David Anderson,Gold Plan,MN-15151,150.0,Legal,Attorney,03/05/2023,David Anderson,Gold,MN-15151,150.0
03/06/2023,Luis Bandres,Gold Plan,LB-19461,100.0,IT,AI Engineer,03/06/2023,Luis Bandres,Gold,LB-19461,100.0
03/07/2023,Eva Thomas,Silver Plan,OP-16161,100.0,Product,Product Manager,03/07/2023,Eva Thomas,Silver,OP-16161,100.0
04/05/2023,Frank Jackson,Bronze Plan,QR-17171,50.0,Engineering,Engineer,04/05/2023,Frank Jackson,Bronze,QR-17171,50.0
04/06/2023,Grace White,Gold Plan,ST-18181,150.0,Design,Graphic Designer,04/06/2023,Grace White,Gold,ST-18181,150.0
