Policy_Date,Full Name,Plan,PolicyNumber,Premium (USD),Department,Position,Start_Date,Full_Name,Insurance_Type,PolicyNumber,Monthly_Cost
01-May-2023,John Doe,Gold Plan,AB&12345,150.00,IT,Software Engineer,01-May-2023,John Doe,Gold,AB&12345,150.00
02-May-2023,Jane Smith,Silver Plan,CD&67890,100.00,HR,HR Manager,02-May-2023,Jane Smith,Silver,CD&67890,100.00
03-May-2023,Michael Brown,Bronze Plan,EF&10111,50.00,Marketing,Marketing Coordinator,03-May-2023,Michael Brown,Bronze,EF&10111,50.00
04-May-2023,Alice Johnson,Gold Plan,GH&12121,150.00,Finance,Financial Analyst,04-May-2023,Alice Johnson,Gold,GH&12121,150.00
05-May-2023,Bob Wilson,Silver Plan,IJ&13131,100.00,Sales,Sales Executive,05-May-2023,Bob Wilson,Silver,IJ&13131,100.00
06-May-2023,Carol Martinez,Bronze Plan,KL&14141,50.00,Operations,Operations Manager,06-May-2023,Carol Martinez,Bronze,KL&14141,50.00
07-May-2023,David Anderson,Gold Plan,MN&15151,150.00,Legal,Attorney,07-May-2023,David Anderson,Gold,MN&15151,150.00
02-Jun-2023,Luis Bandres,Gold Plan,LB&19461,100.00,IT,AI Engineer,02-Jun-2023,Luis Bandres,Gold,LB&19461,100.00
08-May-2023,Eva Thomas,Silver Plan,OP&16161,100.00,Product,Product Manager,08-May-2023,Eva Thomas,Silver,OP&16161,100.00
09-May-2023,Frank Jackson,Bronze Plan,QR&17171,50.00,Engineering,Engineer,09-May-2023,Frank Jackson,Bronze,QR&17171,50.00
10-May-2023,Grace White,Gold Plan,ST&18181,150.00,Design,Graphic Designer,10-May-2023,Grace White,Gold,ST&18181,150.00
